"SRR" "source" "donor" "BAM" "keep" "stub" "name"
"SRR2775729" "SRR2775729" "Blast" "SU070" "SRR2775729.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_67"
"SRR2775730" "SRR2775730" "Blast" "SU070" "SRR2775730.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_68"
"SRR2775731" "SRR2775731" "Blast" "SU070" "SRR2775731.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_69"
"SRR2775732" "SRR2775732" "Blast" "SU070" "SRR2775732.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_70"
"SRR2775733" "SRR2775733" "Blast" "SU070" "SRR2775733.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_71"
"SRR2775734" "SRR2775734" "Blast" "SU070" "SRR2775734.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_72"
"SRR2775735" "SRR2775735" "Blast" "SU070" "SRR2775735.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_73"
"SRR2775736" "SRR2775736" "Blast" "SU070" "SRR2775736.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_74"
"SRR2775737" "SRR2775737" "Blast" "SU070" "SRR2775737.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_75"
"SRR2775738" "SRR2775738" "Blast" "SU070" "SRR2775738.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_76"
"SRR2775739" "SRR2775739" "Blast" "SU070" "SRR2775739.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_77"
"SRR2775740" "SRR2775740" "Blast" "SU070" "SRR2775740.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_78"
"SRR2775741" "SRR2775741" "Blast" "SU070" "SRR2775741.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_79"
"SRR2775742" "SRR2775742" "Blast" "SU070" "SRR2775742.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_80"
"SRR2775743" "SRR2775743" "Blast" "SU070" "SRR2775743.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_81"
"SRR2775744" "SRR2775744" "Blast" "SU070" "SRR2775744.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_82"
"SRR2775745" "SRR2775745" "Blast" "SU070" "SRR2775745.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_83"
"SRR2775746" "SRR2775746" "Blast" "SU070" "SRR2775746.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_84"
"SRR2775747" "SRR2775747" "Blast" "SU070" "SRR2775747.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_85"
"SRR2775748" "SRR2775748" "Blast" "SU070" "SRR2775748.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_86"
"SRR2775749" "SRR2775749" "Blast" "SU070" "SRR2775749.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_87"
"SRR2775750" "SRR2775750" "Blast" "SU070" "SRR2775750.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_88"
"SRR2775751" "SRR2775751" "Blast" "SU070" "SRR2775751.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_89"
"SRR2775752" "SRR2775752" "Blast" "SU070" "SRR2775752.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_90"
"SRR2775753" "SRR2775753" "Blast" "SU070" "SRR2775753.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_91"
"SRR2775754" "SRR2775754" "Blast" "SU070" "SRR2775754.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_92"
"SRR2775755" "SRR2775755" "Blast" "SU070" "SRR2775755.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_93"
"SRR2775756" "SRR2775756" "Blast" "SU070" "SRR2775756.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_94"
"SRR2775757" "SRR2775757" "Blast" "SU070" "SRR2775757.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_95"
"SRR2775758" "SRR2775758" "Blast" "SU070" "SRR2775758.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_96"
"SRR2775759" "SRR2775759" "LSC" "SU070" "SRR2775759.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_1"
"SRR2775760" "SRR2775760" "LSC" "SU070" "SRR2775760.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_2"
"SRR2775761" "SRR2775761" "LSC" "SU070" "SRR2775761.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_3"
"SRR2775762" "SRR2775762" "LSC" "SU070" "SRR2775762.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_4"
"SRR2775763" "SRR2775763" "LSC" "SU070" "SRR2775763.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_5"
"SRR2775764" "SRR2775764" "LSC" "SU070" "SRR2775764.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_6"
"SRR2775765" "SRR2775765" "LSC" "SU070" "SRR2775765.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_7"
"SRR2775766" "SRR2775766" "LSC" "SU070" "SRR2775766.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_8"
"SRR2775767" "SRR2775767" "LSC" "SU070" "SRR2775767.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_9"
"SRR2775768" "SRR2775768" "LSC" "SU070" "SRR2775768.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_10"
"SRR2775769" "SRR2775769" "LSC" "SU070" "SRR2775769.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_11"
"SRR2775770" "SRR2775770" "LSC" "SU070" "SRR2775770.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_12"
"SRR2775771" "SRR2775771" "LSC" "SU070" "SRR2775771.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_13"
"SRR2775772" "SRR2775772" "LSC" "SU070" "SRR2775772.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_14"
"SRR2775773" "SRR2775773" "LSC" "SU070" "SRR2775773.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_15"
"SRR2775774" "SRR2775774" "LSC" "SU070" "SRR2775774.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_16"
"SRR2775775" "SRR2775775" "LSC" "SU070" "SRR2775775.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_17"
"SRR2775776" "SRR2775776" "LSC" "SU070" "SRR2775776.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_18"
"SRR2775777" "SRR2775777" "LSC" "SU070" "SRR2775777.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_19"
"SRR2775778" "SRR2775778" "LSC" "SU070" "SRR2775778.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_20"
"SRR2775779" "SRR2775779" "LSC" "SU070" "SRR2775779.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_21"
"SRR2775780" "SRR2775780" "LSC" "SU070" "SRR2775780.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_22"
"SRR2775781" "SRR2775781" "LSC" "SU070" "SRR2775781.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_23"
"SRR2775782" "SRR2775782" "LSC" "SU070" "SRR2775782.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_24"
"SRR2775783" "SRR2775783" "LSC" "SU070" "SRR2775783.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_25"
"SRR2775784" "SRR2775784" "LSC" "SU070" "SRR2775784.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_26"
"SRR2775785" "SRR2775785" "LSC" "SU070" "SRR2775785.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_27"
"SRR2775786" "SRR2775786" "LSC" "SU070" "SRR2775786.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_28"
"SRR2775787" "SRR2775787" "LSC" "SU070" "SRR2775787.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_29"
"SRR2775788" "SRR2775788" "LSC" "SU070" "SRR2775788.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_30"
"SRR2775789" "SRR2775789" "LSC" "SU070" "SRR2775789.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_31"
"SRR2775790" "SRR2775790" "LSC" "SU070" "SRR2775790.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_32"
"SRR2775791" "SRR2775791" "LSC" "SU070" "SRR2775791.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_33"
"SRR2775792" "SRR2775792" "LSC" "SU070" "SRR2775792.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_34"
"SRR2775793" "SRR2775793" "LSC" "SU070" "SRR2775793.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_35"
"SRR2775794" "SRR2775794" "LSC" "SU070" "SRR2775794.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_36"
"SRR2775795" "SRR2775795" "LSC" "SU070" "SRR2775795.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_37"
"SRR2775796" "SRR2775796" "LSC" "SU070" "SRR2775796.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_38"
"SRR2775797" "SRR2775797" "LSC" "SU070" "SRR2775797.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_39"
"SRR2775798" "SRR2775798" "LSC" "SU070" "SRR2775798.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_40"
"SRR2775799" "SRR2775799" "LSC" "SU070" "SRR2775799.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_41"
"SRR2775800" "SRR2775800" "LSC" "SU070" "SRR2775800.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_42"
"SRR2775801" "SRR2775801" "LSC" "SU070" "SRR2775801.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_43"
"SRR2775802" "SRR2775802" "LSC" "SU070" "SRR2775802.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_44"
"SRR2775803" "SRR2775803" "LSC" "SU070" "SRR2775803.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_45"
"SRR2775804" "SRR2775804" "LSC" "SU070" "SRR2775804.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_46"
"SRR2775805" "SRR2775805" "LSC" "SU070" "SRR2775805.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_47"
"SRR2775806" "SRR2775806" "LSC" "SU070" "SRR2775806.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_48"
"SRR2775807" "SRR2775807" "LSC" "SU070" "SRR2775807.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_49"
"SRR2775808" "SRR2775808" "LSC" "SU070" "SRR2775808.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_50"
"SRR2775809" "SRR2775809" "LSC" "SU070" "SRR2775809.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_51"
"SRR2775810" "SRR2775810" "LSC" "SU070" "SRR2775810.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_52"
"SRR2775811" "SRR2775811" "LSC" "SU070" "SRR2775811.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_53"
"SRR2775812" "SRR2775812" "LSC" "SU070" "SRR2775812.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_54"
"SRR2775813" "SRR2775813" "LSC" "SU070" "SRR2775813.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_55"
"SRR2775814" "SRR2775814" "LSC" "SU070" "SRR2775814.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_56"
"SRR2775815" "SRR2775815" "LSC" "SU070" "SRR2775815.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_57"
"SRR2775816" "SRR2775816" "LSC" "SU070" "SRR2775816.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_58"
"SRR2775817" "SRR2775817" "LSC" "SU070" "SRR2775817.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_59"
"SRR2775818" "SRR2775818" "LSC" "SU070" "SRR2775818.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_60"
"SRR2775819" "SRR2775819" "LSC" "SU070" "SRR2775819.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_61"
"SRR2775820" "SRR2775820" "LSC" "SU070" "SRR2775820.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_62"
"SRR2775821" "SRR2775821" "LSC" "SU070" "SRR2775821.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_63"
"SRR2775822" "SRR2775822" "LSC" "SU070" "SRR2775822.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_64"
"SRR2775823" "SRR2775823" "LSC" "SU070" "SRR2775823.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_65"
"SRR2775824" "SRR2775824" "LSC" "SU070" "SRR2775824.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_66"
"SRR2775825" "SRR2775825" "LSC" "SU070" "SRR2775825.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_67"
"SRR2775827" "SRR2775827" "LSC" "SU070" "SRR2775827.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_68"
"SRR2775828" "SRR2775828" "LSC" "SU070" "SRR2775828.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_69"
"SRR2775830" "SRR2775830" "LSC" "SU070" "SRR2775830.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_70"
"SRR2775831" "SRR2775831" "LSC" "SU070" "SRR2775831.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_71"
"SRR2775833" "SRR2775833" "LSC" "SU070" "SRR2775833.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_72"
"SRR2775834" "SRR2775834" "LSC" "SU070" "SRR2775834.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_73"
"SRR2775836" "SRR2775836" "LSC" "SU070" "SRR2775836.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_74"
"SRR2775837" "SRR2775837" "LSC" "SU070" "SRR2775837.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_75"
"SRR2775839" "SRR2775839" "LSC" "SU070" "SRR2775839.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_76"
"SRR2775840" "SRR2775840" "LSC" "SU070" "SRR2775840.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_77"
"SRR2775842" "SRR2775842" "LSC" "SU070" "SRR2775842.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_78"
"SRR2775843" "SRR2775843" "LSC" "SU070" "SRR2775843.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_79"
"SRR2775845" "SRR2775845" "LSC" "SU070" "SRR2775845.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_80"
"SRR2775846" "SRR2775846" "LSC" "SU070" "SRR2775846.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_81"
"SRR2775848" "SRR2775848" "LSC" "SU070" "SRR2775848.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_82"
"SRR2775849" "SRR2775849" "LSC" "SU070" "SRR2775849.merged.rCRS.bam" FALSE "SU070_LSC" "SU070_LSC_83"
"SRR2775851" "SRR2775851" "LSC" "SU070" "SRR2775851.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_84"
"SRR2775852" "SRR2775852" "LSC" "SU070" "SRR2775852.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_85"
"SRR2775854" "SRR2775854" "LSC" "SU070" "SRR2775854.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_86"
"SRR2775855" "SRR2775855" "LSC" "SU070" "SRR2775855.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_87"
