"subject" "BAM"
"SU353_LSC_85" "SU353" "SRR3986012.hg19_rCRSchrm.bam"
"SU353_LSC_87" "SU353" "SRR3986014.hg19_rCRSchrm.bam"
"SU353_LSC_88" "SU353" "SRR3986015.hg19_rCRSchrm.bam"
"SU353_LSC_90" "SU353" "SRR3986017.hg19_rCRSchrm.bam"
"SU353_LSC_91" "SU353" "SRR3986018.hg19_rCRSchrm.bam"
"SU353_LSC_94" "SU353" "SRR3986021.hg19_rCRSchrm.bam"
"SU353_LSC_95" "SU353" "SRR3986022.hg19_rCRSchrm.bam"
"BM1077_LMPP_1" "BM1077" "SRR3986024.hg19_rCRSchrm.bam"
"BM1077_LMPP_2" "BM1077" "SRR3986025.hg19_rCRSchrm.bam"
"BM1077_LMPP_3" "BM1077" "SRR3986026.hg19_rCRSchrm.bam"
"BM1077_LMPP_4" "BM1077" "SRR3986027.hg19_rCRSchrm.bam"
"BM1077_LMPP_5" "BM1077" "SRR3986028.hg19_rCRSchrm.bam"
"BM1077_LMPP_9" "BM1077" "SRR3986032.hg19_rCRSchrm.bam"
"BM1077_LMPP_12" "BM1077" "SRR3986035.hg19_rCRSchrm.bam"
"BM1077_LMPP_13" "BM1077" "SRR3986036.hg19_rCRSchrm.bam"
"BM1077_LMPP_14" "BM1077" "SRR3986037.hg19_rCRSchrm.bam"
"BM1077_LMPP_15" "BM1077" "SRR3986038.hg19_rCRSchrm.bam"
"BM1077_LMPP_16" "BM1077" "SRR3986039.hg19_rCRSchrm.bam"
"BM1077_LMPP_18" "BM1077" "SRR3986041.hg19_rCRSchrm.bam"
"BM1077_LMPP_19" "BM1077" "SRR3986042.hg19_rCRSchrm.bam"
"BM1077_LMPP_20" "BM1077" "SRR3986043.hg19_rCRSchrm.bam"
"BM1077_LMPP_21" "BM1077" "SRR3986044.hg19_rCRSchrm.bam"
"BM1077_LMPP_23" "BM1077" "SRR3986046.hg19_rCRSchrm.bam"
"BM1077_LMPP_28" "BM1077" "SRR3986051.hg19_rCRSchrm.bam"
"BM1077_LMPP_29" "BM1077" "SRR3986052.hg19_rCRSchrm.bam"
"BM1077_LMPP_31" "BM1077" "SRR3986054.hg19_rCRSchrm.bam"
"BM1077_LMPP_38" "BM1077" "SRR3986061.hg19_rCRSchrm.bam"
"BM1077_LMPP_39" "BM1077" "SRR3986062.hg19_rCRSchrm.bam"
"BM1077_LMPP_40" "BM1077" "SRR3986063.hg19_rCRSchrm.bam"
"BM1077_LMPP_41" "BM1077" "SRR3986064.hg19_rCRSchrm.bam"
"BM1077_LMPP_42" "BM1077" "SRR3986065.hg19_rCRSchrm.bam"
"BM1077_LMPP_44" "BM1077" "SRR3986067.hg19_rCRSchrm.bam"
"BM1077_LMPP_45" "BM1077" "SRR3986068.hg19_rCRSchrm.bam"
"BM1077_LMPP_47" "BM1077" "SRR3986070.hg19_rCRSchrm.bam"
"BM1077_LMPP_48" "BM1077" "SRR3986071.hg19_rCRSchrm.bam"
"BM1077_LMPP_49" "BM1077" "SRR3986072.hg19_rCRSchrm.bam"
"BM1077_LMPP_51" "BM1077" "SRR3986074.hg19_rCRSchrm.bam"
"BM1077_LMPP_52" "BM1077" "SRR3986075.hg19_rCRSchrm.bam"
"BM1077_LMPP_54" "BM1077" "SRR3986078.hg19_rCRSchrm.bam"
"BM1077_LMPP_56" "BM1077" "SRR3986080.hg19_rCRSchrm.bam"
"BM1077_LMPP_57" "BM1077" "SRR3986081.hg19_rCRSchrm.bam"
"BM1077_LMPP_58" "BM1077" "SRR3986082.hg19_rCRSchrm.bam"
"BM1077_LMPP_59" "BM1077" "SRR3986083.hg19_rCRSchrm.bam"
"BM1077_LMPP_60" "BM1077" "SRR3986084.hg19_rCRSchrm.bam"
"BM1077_LMPP_61" "BM1077" "SRR3986085.hg19_rCRSchrm.bam"
"BM1077_LMPP_63" "BM1077" "SRR3986087.hg19_rCRSchrm.bam"
"BM1077_LMPP_64" "BM1077" "SRR3986088.hg19_rCRSchrm.bam"
"BM1077_LMPP_65" "BM1077" "SRR3986089.hg19_rCRSchrm.bam"
"BM1077_LMPP_66" "BM1077" "SRR3986090.hg19_rCRSchrm.bam"
"BM1077_LMPP_68" "BM1077" "SRR3986092.hg19_rCRSchrm.bam"
"BM1077_LMPP_70" "BM1077" "SRR3986094.hg19_rCRSchrm.bam"
"BM1077_LMPP_71" "BM1077" "SRR3986095.hg19_rCRSchrm.bam"
"BM1077_LMPP_75" "BM1077" "SRR3986099.hg19_rCRSchrm.bam"
"BM1077_LMPP_77" "BM1077" "SRR3986101.hg19_rCRSchrm.bam"
"BM1077_LMPP_78" "BM1077" "SRR3986102.hg19_rCRSchrm.bam"
"BM1077_LMPP_79" "BM1077" "SRR3986103.hg19_rCRSchrm.bam"
"BM1077_LMPP_81" "BM1077" "SRR3986105.hg19_rCRSchrm.bam"
"BM1077_LMPP_83" "BM1077" "SRR3986107.hg19_rCRSchrm.bam"
"BM1077_LMPP_84" "BM1077" "SRR3986108.hg19_rCRSchrm.bam"
"BM1077_LMPP_85" "BM1077" "SRR3986109.hg19_rCRSchrm.bam"
"BM1077_LMPP_86" "BM1077" "SRR3986110.hg19_rCRSchrm.bam"
"BM1077_LMPP_87" "BM1077" "SRR3986111.hg19_rCRSchrm.bam"
"BM1077_LMPP_91" "BM1077" "SRR3986115.hg19_rCRSchrm.bam"
"BM1077_LMPP_96" "BM1077" "SRR3986120.hg19_rCRSchrm.bam"
"PB1022_Monocyte_1" "PB1022" "SRR3986121.hg19_rCRSchrm.bam"
"PB1022_Monocyte_2" "PB1022" "SRR3986122.hg19_rCRSchrm.bam"
"PB1022_Monocyte_3" "PB1022" "SRR3986123.hg19_rCRSchrm.bam"
"PB1022_Monocyte_4" "PB1022" "SRR3986124.hg19_rCRSchrm.bam"
"PB1022_Monocyte_5" "PB1022" "SRR3986125.hg19_rCRSchrm.bam"
"PB1022_Monocyte_8" "PB1022" "SRR3986128.hg19_rCRSchrm.bam"
"PB1022_Monocyte_10" "PB1022" "SRR3986130.hg19_rCRSchrm.bam"
"PB1022_Monocyte_11" "PB1022" "SRR3986131.hg19_rCRSchrm.bam"
"PB1022_Monocyte_12" "PB1022" "SRR3986132.hg19_rCRSchrm.bam"
"PB1022_Monocyte_13" "PB1022" "SRR3986133.hg19_rCRSchrm.bam"
"PB1022_Monocyte_14" "PB1022" "SRR3986134.hg19_rCRSchrm.bam"
"PB1022_Monocyte_15" "PB1022" "SRR3986135.hg19_rCRSchrm.bam"
"PB1022_Monocyte_16" "PB1022" "SRR3986136.hg19_rCRSchrm.bam"
"PB1022_Monocyte_18" "PB1022" "SRR3986138.hg19_rCRSchrm.bam"
"PB1022_Monocyte_20" "PB1022" "SRR3986140.hg19_rCRSchrm.bam"
"PB1022_Monocyte_22" "PB1022" "SRR3986142.hg19_rCRSchrm.bam"
"PB1022_Monocyte_24" "PB1022" "SRR3986144.hg19_rCRSchrm.bam"
"PB1022_Monocyte_25" "PB1022" "SRR3986145.hg19_rCRSchrm.bam"
"PB1022_Monocyte_26" "PB1022" "SRR3986146.hg19_rCRSchrm.bam"
"PB1022_Monocyte_28" "PB1022" "SRR3986148.hg19_rCRSchrm.bam"
"PB1022_Monocyte_31" "PB1022" "SRR3986151.hg19_rCRSchrm.bam"
"PB1022_Monocyte_32" "PB1022" "SRR3986152.hg19_rCRSchrm.bam"
"PB1022_Monocyte_33" "PB1022" "SRR3986153.hg19_rCRSchrm.bam"
"PB1022_Monocyte_36" "PB1022" "SRR3986156.hg19_rCRSchrm.bam"
"PB1022_Monocyte_37" "PB1022" "SRR3986157.hg19_rCRSchrm.bam"
"PB1022_Monocyte_38" "PB1022" "SRR3986158.hg19_rCRSchrm.bam"
"PB1022_Monocyte_39" "PB1022" "SRR3986159.hg19_rCRSchrm.bam"
"PB1022_Monocyte_42" "PB1022" "SRR3986162.hg19_rCRSchrm.bam"
"PB1022_Monocyte_45" "PB1022" "SRR3986165.hg19_rCRSchrm.bam"
"PB1022_Monocyte_46" "PB1022" "SRR3986166.hg19_rCRSchrm.bam"
"PB1022_Monocyte_48" "PB1022" "SRR3986168.hg19_rCRSchrm.bam"
"PB1022_Monocyte_50" "PB1022" "SRR3986170.hg19_rCRSchrm.bam"
"PB1022_Monocyte_51" "PB1022" "SRR3986171.hg19_rCRSchrm.bam"
"PB1022_Monocyte_52" "PB1022" "SRR3986172.hg19_rCRSchrm.bam"
"PB1022_Monocyte_53" "PB1022" "SRR3986173.hg19_rCRSchrm.bam"
"PB1022_Monocyte_54" "PB1022" "SRR3986174.hg19_rCRSchrm.bam"
"PB1022_Monocyte_55" "PB1022" "SRR3986175.hg19_rCRSchrm.bam"
"PB1022_Monocyte_59" "PB1022" "SRR3986179.hg19_rCRSchrm.bam"
"PB1022_Monocyte_61" "PB1022" "SRR3986181.hg19_rCRSchrm.bam"
"PB1022_Monocyte_64" "PB1022" "SRR3986184.hg19_rCRSchrm.bam"
"PB1022_Monocyte_66" "PB1022" "SRR3986186.hg19_rCRSchrm.bam"
"PB1022_Monocyte_67" "PB1022" "SRR3986187.hg19_rCRSchrm.bam"
"PB1022_Monocyte_70" "PB1022" "SRR3986190.hg19_rCRSchrm.bam"
"PB1022_Monocyte_73" "PB1022" "SRR3986193.hg19_rCRSchrm.bam"
"PB1022_Monocyte_74" "PB1022" "SRR3986194.hg19_rCRSchrm.bam"
"PB1022_Monocyte_75" "PB1022" "SRR3986195.hg19_rCRSchrm.bam"
"PB1022_Monocyte_76" "PB1022" "SRR3986196.hg19_rCRSchrm.bam"
"PB1022_Monocyte_77" "PB1022" "SRR3986197.hg19_rCRSchrm.bam"
"PB1022_Monocyte_78" "PB1022" "SRR3986198.hg19_rCRSchrm.bam"
"PB1022_Monocyte_80" "PB1022" "SRR3986200.hg19_rCRSchrm.bam"
